location,truth_date,year_week,value
FR,2022-12-25,2022-W51,380.648104754314
FR,2022-12-18,2022-W50,358.917719511956
FR,2022-12-11,2022-W49,250.451274156141
FR,2022-12-04,2022-W48,186.540089625269
FR,2022-11-27,2022-W47,147.796051321051
FR,2022-11-20,2022-W46,103.830956856034
FR,2022-11-13,2022-W45,69.4495509163574
FR,2022-11-06,2022-W44,53.2115450703994
FR,2022-10-30,2022-W43,68.6263838117337
FR,2022-10-23,2022-W42,72.7544825319418
FR,2022-10-16,2022-W41,74.4728630240894
FR,2022-10-09,2022-W40,64.2698830457361
FR,2022-10-02,2022-W39,61.1657612824901
FR,2022-09-25,2022-W38,44.1183844286338
FR,2022-09-18,2022-W37,32.7963877158758
FR,2022-09-11,2022-W36,21.6445428627327
FR,2022-09-04,2022-W35,14.2299073225742
FR,2022-08-28,2022-W34,11.4936814720092
FR,2022-08-21,2022-W33,11.6285766399922
FR,2022-08-14,2022-W32,18.7350993532804
FR,2022-08-07,2022-W31,20.3216504767172
GR,2024-01-14,2024-W02,1250.70989725851
GR,2024-01-07,2024-W01,2205.81621945735
GR,2023-12-31,2023-W52,2272.23889149761
GR,2023-12-24,2023-W51,1079.00770409327
GR,2023-12-17,2023-W50,1191.11979212082
GR,2023-12-10,2023-W49,896.7348647375861
GR,2023-12-03,2023-W48,774.043166100428
GR,2023-11-26,2023-W47,740.297486749872
GR,2023-11-19,2023-W46,643.633414436334
GR,2023-11-12,2023-W45,653.537100436476
GR,2023-11-05,2023-W44,714.015285961052
GR,2023-10-29,2023-W43,666.003086764936
GR,2023-10-22,2023-W42,902.0269075216071
GR,2023-10-15,2023-W41,742.29502278778
GR,2023-10-08,2023-W40,704.860257355954
GR,2023-10-01,2023-W39,732.566510774168
GR,2023-09-24,2023-W38,589.266070767207
GR,2023-09-17,2023-W37,408.67322759529
GR,2023-09-10,2023-W36,251.292360712234
GR,2023-09-03,2023-W35,290.041676549317
GR,2023-08-27,2023-W34,335.861580459541
GR,2023-08-20,2023-W33,455.651176976387
GR,2023-08-13,2023-W32,459.782591840216
GR,2023-08-06,2023-W31,446.097200684947
