,origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
106,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.025,218.55449499647688
107,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.025,208.69110870248528
108,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.975,274.1753373664432
109,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.975,293.2636791675761
110,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.975,308.2305202946664
111,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.975,320.4297648952339
112,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.05,239.3868873614261
113,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.05,230.7163490649565
114,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.05,221.22766793632476
115,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.05,212.02195160142287
116,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.95,273.10645812108646
117,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.95,291.3419050445691
118,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.95,305.55734735481855
119,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.95,317.0989219962963
120,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.1,241.45599047232523
121,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.1,234.4364594830723
122,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.1,226.4023127522272
123,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.1,218.4696934151469
124,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.9,271.0373550101873
125,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.9,287.62179462645327
126,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.9,300.3827025389161
127,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.9,310.6511801825723
128,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.15,243.4483397537492
129,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.15,238.01857159691957
130,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.15,231.38500299433275
131,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.15,224.67825484532037
132,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.85,269.0450057287634
133,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.85,284.0396825126061
134,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.85,295.40001229681053
135,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.85,304.44261875239886
136,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.2,245.3787341099231
137,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.2,241.48929285660284
138,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.2,236.2127494199238
139,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.2,230.69375225659755
140,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.8,267.1146113725895
141,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.8,280.56896125292275
142,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.8,290.5722658712195
143,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.8,298.4271213411216
144,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.25,247.2594702565874
145,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.25,244.8707319429771
146,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.25,240.91630503305493
147,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.25,236.55450469061236
148,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.75,265.2338752259252
149,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.75,277.1875221665485
150,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.75,285.8687102580884
151,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.75,292.5663689071069
152,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.3,249.1010342160668
153,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.3,248.181742030004
154,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.3,245.52189445287448
155,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.3,242.29318870381385
156,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.7,263.39231126644586
157,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.7,273.8765120795216
158,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.7,281.26312083826883
159,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.7,286.82768489390537
160,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.35,250.9125998591452
161,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.35,251.43881713004004
162,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.35,250.0524607229861
163,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.35,247.9383919243081
164,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.65,261.5807456233674
165,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.65,270.6194369794856
166,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.65,276.7325545681572
167,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.65,281.1824816734111
168,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.4,252.70240264658892
169,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.4,254.65676405635293
170,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.4,254.528600006112
171,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.4,253.51577770567997
172,2023-12-27,ILI incidence,2023-12-24,1,FR,quantile,0.6,259.79094283592366
173,2023-12-27,ILI incidence,2023-12-31,2,FR,quantile,0.6,267.40149005317267
174,2023-12-27,ILI incidence,2024-01-07,3,FR,quantile,0.6,272.25641528503127
175,2023-12-27,ILI incidence,2024-01-14,4,FR,quantile,0.6,275.60509589203923
