origin_date,ILI incidence,target_end_date,horizon,location,output_type,output_type_id,value
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.05,0.0
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.1,0.0
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.15,0.0
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.2,0.0
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.25,0.0
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.3,0.0
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.35,0.0
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.4,0.0
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.45,0.0
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.5,0.09
2023-12-06,ILI incidence,2024-01-07,4,HR,median,0.5,0.09
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.55,0.22
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.6,0.41
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.65,0.68
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.7,1.06
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.75,1.61
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.8,2.57
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.85,4.31
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.9,8.18
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.95,22.3
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.975,48.21
2023-12-06,ILI incidence,2024-01-07,4,HR,quantile,0.99,145.6
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.01,26.55
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.025,29.06
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.05,31.42
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.1,34.76
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.15,37.56
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.2,39.68
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.25,41.7
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.3,43.37
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.35,45.04
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.4,46.59
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.45,48.06
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.5,49.68
2023-12-06,ILI incidence,2023-12-17,1,CZ,median,0.5,49.68
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.55,51.21
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.6,52.83
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.65,54.47
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.7,56.02
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.75,57.64
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.8,59.33
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.85,61.54
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.9,64.24
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.95,68.44
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.975,72.71
2023-12-06,ILI incidence,2023-12-17,1,CZ,quantile,0.99,78.38
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.01,29.81
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.025,33.21
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.05,36.96
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.1,41.84
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.15,45.94
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.2,49.69
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.25,52.94
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.3,55.99
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.35,58.86
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.4,61.51
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.45,64.12
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.5,66.66
2023-12-06,ILI incidence,2023-12-24,2,CZ,median,0.5,66.66
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.55,69.24
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.6,71.84
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.65,74.47
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.7,77.04
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.75,79.79
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.8,82.77
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.85,86.18
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.9,90.65
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.95,97.9
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.975,104.16
2023-12-06,ILI incidence,2023-12-24,2,CZ,quantile,0.99,112.64
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.01,33.2
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.025,37.68
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.05,42.85
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.1,49.89
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.15,55.89
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.2,61.08
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.25,66.44
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.3,71.67
2023-12-06,ILI incidence,2023-12-31,3,CZ,quantile,0.35,76.14
